iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,0,0,1,211,323,2211,1,0,1,0,0,1,1,1,,,,,,,,,,,,,544.3907059000012,545.3917535,545.3917535,550.1951740000004,550.1951740000004,None,546.3924012600006,None,"['num_2', 'num_1', 'num_1']","[0.7003331000014441, 1.5003931000010198, 2.284413700001096]",550.1951740000004,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,0,0,0,0,332,123,1311,1,0,1,0,0,2,2,2,,,,,,,,,,,,,559.1856059000002,560.1862134000003,560.1862134000003,564.9906554999998,564.9906554999998,None,561.1874421600011,564.0062791,"['num_3', 'num_3', 'num_2']","[0.6490166000003228, 1.3290893000012147, 2.121029300000373]",564.9906554999998,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,1,1,0,232,121,1313,1,0,1,0,0,3,3,3,,,,,,,,,,,,,574.0000639999998,575.0152625999999,574.9986515,579.8021098999998,579.8021098999998,None,575.9991695600007,578.8181549000001,"['num_2', 'num_1', 'num_3']","[2.285758199999691, 3.1255423999991763, 3.925579499999003]",579.8021098999998,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,1,0,1,123,311,3131,1,0,1,0,0,4,4,4,,,,,,,,,,,,,588.7930780999995,589.7941322999995,589.7941322999995,594.5974192000012,594.5974192000012,None,590.7944438600013,None,"['num_1', 'num_2', 'num_3']","[0.786347700000988, 1.5145742000004248, 2.2745498000003863]",594.5974192000012,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,0,1,1,232,121,1112,1,0,1,0,0,5,5,5,,,,,,,,,,,,,603.6056320999996,604.6057746000006,604.5891308000009,609.3930514000003,609.3930514000003,None,605.5899896600009,608.4086217000004,"['num_2', 'num_3', 'num_2']","[1.078762299999653, 1.7504931000003126, 2.3984192999996594]",609.3930514000003,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,1,1,1,313,232,1321,1,0,1,0,0,6,6,6,,,,,,,,,,,,,618.3997359000005,619.4011666999995,619.4011666999995,624.2050720999996,624.2050720999996,None,620.4019869600003,None,"['num_3', 'num_1', 'num_3']","[1.034216899999592, 1.9064974000011716, 2.6664184000001114]",624.2050720999996,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,0,1,1,233,321,2133,1,0,1,0,0,7,7,7,,,,,,,,,,,,,633.1957956999995,634.1964793999996,634.1964793999996,639.0000636000004,639.0000636000004,None,635.1970337600002,638.0160802999999,"['num_2', 'num_3', 'num_3']","[0.975273300000481, 1.7833195000002888, 2.687575599999036]",639.0000636000004,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,0,0,0,331,213,1211,1,0,1,0,0,8,8,8,,,,,,,,,,,,,648.0079951000007,649.008740700001,648.9916809999995,653.7951764000009,653.7951764000009,None,649.99217276,None,"['num_2', 'num_3', 'num_3']","[0.40443559999948775, 1.51634759999979, 2.3243524999998044]",653.7951764000009,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,1,1,1,1,221,332,3232,1,0,1,0,0,9,9,9,,,,,,,,,,,,,662.7859053000011,663.7864047000003,663.7864047000003,668.5905891000002,668.5905891000002,None,664.787124860001,667.6065940000008,"['num_2', 'num_2', 'num_3']","[1.2166866000006848, 1.6168317000010575, 2.6650538000012602]",668.5905891000002,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,1,1,0,0,212,131,3123,1,0,1,0,0,10,10,10,,,,,,,,,,,,,677.5977586999998,678.5987860000005,678.5987860000005,683.4020811000009,683.4020811000009,None,679.5994817600009,682.4180637000009,"['num_2', 'num_1', 'num_2']","[2.085767799999303, 2.9253869999993185, 3.725423399999272]",683.4020811000009,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,0,0,1,1,232,321,3223,1,0,1,0,0,11,11,11,,,,,,,,,,,,,692.4098297,693.4102175999997,693.3942984000005,698.1974688000009,698.1974688000009,None,694.3943557600002,None,"['num_2', 'num_3', 'num_2']","[1.2658819999996922, 2.018065899999783, 2.801906799999415]",698.1974688000009,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,0,0,0,232,313,3313,1,0,1,0,0,12,12,12,,,,,,,,,,,,,707.1880622000008,708.1887567000012,708.1887567000012,712.9925689000011,712.9925689000011,None,709.1893686600002,None,"['num_2', 'num_3', 'num_2']","[0.5666676000000734, 1.1109790000009525, 1.7108347000012145]",712.9925689000011,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,0,0,1,0,232,123,1221,1,0,1,0,0,13,13,13,,,,,,,,,,,,,721.9999472,723.0005295999999,723.0005295999999,727.8046816000005,727.7880033000001,None,724.0018633599999,None,"['num_2', 'num_3', 'num_2']","[1.1954688999994687, 1.9872885000004317, 2.763442400000713]",727.7880033000001,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,0,0,0,1,323,212,3132,1,0,1,0,0,14,14,14,,,,,,,,,,,,,736.7785080000012,737.7791938999999,737.7791938999999,742.5830280000009,742.5830280000009,None,738.7802405600002,741.5997466000008,"['num_3', 'num_2', 'num_3']","[0.7764408999992156, 1.5363027999992482, 2.3285003999990295]",742.5830280000009,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
0,0,1,1,0,313,231,2213,1,0,1,0,0,15,15,15,,,,,,,,,,,,,751.5903658000007,752.5911269999997,752.5911269999997,757.3948349000002,757.3948349000002,None,753.5922013599999,None,"['num_3', 'num_1', 'num_3']","[1.268642600000021, 1.932485799999995, 2.636584900001253]",757.3948349000002,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
1,1,0,1,1,213,321,3322,1,0,1,0,0,16,16,16,,,,,,,,,,,,,766.4024614000009,767.4031166000004,767.3864522000003,772.1902802000004,772.1902802000004,None,768.3871571599999,771.2058820000002,"['num_2', 'num_3', 'num_1']","[1.3689956999987771, 2.3535534999991796, 3.225083299999824]",772.1902802000004,None,,,,,,,2,001,2022_May_11_1905,expDesign_,2021.2.3,59.877012615839384,
