iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,1,1,213,321,1212,1,0,1,0,0,4,4,4,,,,,,,,,,,,,793.8717362999741,794.8725287999841,794.8725287999841,799.6764058999834,799.6764058999834,None,795.8735289199831,None,None,,799.6764058999834,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,0,1,0,321,113,1221,1,0,1,0,0,5,5,5,,,,,,,,,,,,,808.6837051999755,809.6841933999967,809.6675523000013,814.4716589000018,814.4716589000018,None,810.6684394199838,813.4875500999915,None,,814.4716589000018,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,1,0,1,122,231,2211,1,0,1,0,0,6,6,6,,,,,,,,,,,,,823.4787202999869,824.4797655000002,824.4797655000002,829.2833442999981,829.2833442999981,None,825.4801015199773,None,None,,829.2833442999981,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,1,1,0,0,212,131,3232,1,0,1,0,0,7,7,7,,,,,,,,,,,,,838.2740097999922,839.2749164999987,839.2749164999987,844.0786839999782,844.062409199978,None,840.2587784200005,843.0785196999786,None,,844.062409199978,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,1,1,1,122,213,1332,1,0,1,0,0,8,8,8,,,,,,,,,,,,,853.0696334999811,854.070204299991,854.070204299991,858.8739331999968,858.8739331999968,None,855.0709597199893,None,None,,858.8739331999968,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,0,0,0,0,213,132,2332,1,0,1,0,0,9,9,9,,,,,,,,,,,,,867.8663583000016,868.8820349999878,868.8486145999923,873.6524401999777,873.6524401999777,None,869.8493001199822,872.6688465999905,None,,873.6524401999777,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,1,1,0,232,311,1132,1,0,1,0,0,10,10,10,,,,,,,,,,,,,882.6599505999766,883.6604768999969,883.6604768999969,888.4643326999794,888.4643326999794,881.6765949999972,884.6613337199815,None,None,,888.4643326999794,881.6765949999972,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,0,1,1,123,331,3133,1,0,1,0,0,11,11,11,,,,,,,,,,,,,897.4888134999783,898.489162199985,898.472534999979,903.2762882999959,903.2762882999959,None,899.47302071999,None,None,,903.2762882999959,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
0,1,1,0,0,213,131,3311,1,0,1,0,0,12,12,12,,,,,,,,,,,,,912.2673018999922,913.2677336999914,913.2677336999914,918.0713607999787,918.0713607999787,None,914.2683682200004,917.0877336999984,None,,918.0713607999787,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
1,0,0,0,0,212,321,3231,1,0,1,0,0,13,13,13,,,,,,,,,,,,,927.0790325999842,928.0793032999791,928.0793032999791,932.8837950000016,932.8837950000016,None,929.0802948199998,931.8994244999776,None,,932.8837950000016,None,,,,,,,2,001,2022_Apr_21_1103,expDesign_,2021.2.3,60.031468501287506,
