iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,1,1,1,212,121,2212,233,0,1,0,1,0,0,4,4,4,,,,,,,,,,,,,702.8500810999831,703.8502681999817,703.8502681999817,708.6546841999807,708.6363159999892,None,704.8498826666657,None,"['num_2', 'num_1', 'num_2']","[1.520115600025747, 2.240111600025557, 2.7765303000051063]",708.6363159999892,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,0,0,1,223,332,2221,332,1,1,0,1,0,0,5,5,5,,,,,,,,,,,,,717.6616600999841,718.6623012999771,718.6451184999896,723.4493113999779,723.4493113999779,None,719.6470381666479,None,"['num_3', 'num_1', 'num_1']","[1.2671964000037406, 1.8352662000106648, 2.0992771000019275]",723.4493113999779,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,0,1,1,212,131,3112,131,1,1,0,1,0,0,6,6,6,,,,,,,,,,,,,732.4566532999743,733.457188499975,733.457188499975,738.2617552999873,738.2617552999873,None,734.4569626666528,None,"['num_2', 'num_1', 'num_1']","[0.7591968999768142, 1.2391362999915145, 1.4547564999957103]",738.2617552999873,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,1,0,0,313,232,3213,312,1,1,0,1,0,0,7,7,7,,,,,,,,,,,,,747.2506248999853,748.2533718999766,748.2533718999766,753.0553411000001,753.0553411000001,None,749.2521048666424,752.0733299999847,"['num_1', 'num_2', 'num_3']","[1.2529758000164293, 1.5251414999947883, 2.093431999994209]",753.0553411000001,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,1,1,0,213,322,3123,333,1,1,0,1,0,0,8,8,8,,,,,,,,,,,,,762.045165699994,763.0470796999871,763.0470796999871,767.8502084999927,767.8502084999927,None,764.047431966643,None,"['num_2', 'num_3', 'num_1']","[1.0019228999735788, 1.6022375999891665, 2.1783875999972224]",767.8502084999927,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,1,0,1,123,231,3331,212,0,1,0,1,0,0,9,9,9,,,,,,,,,,,,,776.8243011999875,777.8266744999855,777.8266744999855,782.628854199982,782.628854199982,None,778.8272240666595,None,"['num_3', 'num_2', 'num_1']","[1.0477942999859806, 1.4318672000081278, 1.7196470999915618]",782.628854199982,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,0,0,0,0,323,212,1331,233,0,1,0,1,0,0,10,10,10,,,,,,,,,,,,,791.6548460999911,792.6703305999981,792.6368582999858,797.44243559998,797.44243559998,790.6537605999911,793.6393020666476,796.4584641999973,"['num_1', 'num_2', 'num_3']","[2.6023806000011973, 2.8899890999891795, 3.6979292999894824]",797.44243559998,790.6537605999911,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,0,0,1,1,123,232,3331,332,1,1,0,1,0,0,11,11,11,,,,,,,,,,,,,806.4481128999905,807.4486078999762,807.4486078999762,812.2542836999928,812.2542836999928,None,808.4509869666401,811.2703324999893,"['num_1', 'num_3', 'num_2']","[0.7586043999763206, 1.1104253999947105, 1.4866155999770854]",812.2542836999928,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
0,1,0,1,0,133,212,1221,211,0,1,0,1,0,0,12,12,12,,,,,,,,,,,,,821.2452511999873,822.2457384000008,822.2276315999916,827.0311432000017,827.0311432000017,None,823.2298047666593,826.0493276999914,"['num_1', 'num_3', 'num_1']","[0.7011801000044215, 1.1570975999929942, 1.6451982000144199]",827.0311432000017,None,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
1,1,0,1,0,321,133,1312,133,1,1,0,1,0,0,13,13,13,,,,,,,,,,,,,836.0397990999918,837.0392915999983,837.0392915999983,841.8447595999751,841.8447595999751,835.0554017999966,838.0420283666501,840.8591947999957,"['num_3', 'num_1', 'num_3']","[0.7275096999946982, 1.696001600008458, 2.5915500999835785]",841.8447595999751,835.0554017999966,,,,,,,,,,,,,3,001,2022_May_21_1932,expDesign_,2021.2.3,None,
